DealID,LeadSource,DealStage,Amount,CloseDate,EntryDate,Salesperson
6056,Referral,Lead,2,2023-08-21,2023-08-19,Ros Pike
252,Referral,Closed Won,3347,2023-09-18,2023-09-12,Ros Pike
6818,Referral,Closed Won,3266,2020-06-22,2020-06-18,Ros Pike
9753,Referral,Lead,3,2023-07-03,2023-07-02,Ros Pike
28,Referral,Closed Won,3083,2021-09-22,2021-09-18,Ros Pike
4094,Referral,Closed Won,3080,2021-08-29,2021-08-25,Ros Pike
263,Referral,Negotiating,3060,2020-09-22,2020-09-20,Ros Pike
4879,Referral,Lead,2,2023-08-01,2023-07-30,Ros Pike
2050,Referral,Lead,3,2021-07-14,2021-07-12,Ros Pike
1449,Referral,Lead,3,2020-04-25,2020-04-24,Ros Pike
9661,Referral,Closed Won,3024,2023-06-12,2023-06-07,Ros Pike
516,Referral,Closed Won,3000,2024-01-28,2024-01-23,Ros Pike
5563,Referral,Closed Won,3000,2024-04-03,2024-04-01,Ros Pike
8103,Referral,Closed Won,2973,2021-05-27,2021-05-23,Ros Pike
8313,Referral,Closed Won,2940,2024-02-01,2024-01-27,Ros Pike
3071,Referral,Closed Won,2934,2020-11-23,2020-11-18,Ros Pike
6100,Referral,Negotiating,2888,2024-09-27,2024-09-21,Ros Pike
6869,Referral,Closed Won,2887,2023-08-29,2023-08-22,Ros Pike
4620,Cold Call,Prospect,2880,2024-12-26,2024-12-25,Ros Pike
203,Referral,Lead,3,2020-08-06,2020-08-04,Ros Pike
565,Referral,Lead,3,2021-12-10,2021-12-08,Ros Pike
8237,Referral,Negotiating,2804,2024-05-07,2024-05-02,Ros Pike
5127,Referral,Prospect,2800,2020-09-15,2020-09-15,Ros Pike
3056,Referral,Closed Won,2800,2021-09-02,2021-08-29,Ros Pike
3984,Referral,Negotiating,2800,2023-07-10,2023-07-08,Ros Pike
9930,Referral,Prospect,2800,2023-09-05,2023-09-05,Ros Pike
5711,Referral,Closed Won,2800,2021-05-16,2021-05-09,Ros Pike
6210,Referral,Negotiating,2794,2024-08-26,2024-08-19,Ros Pike
389,Referral,Lead,3,2020-11-27,2020-11-25,Ros Pike
995,Referral,Closed Won,2716,2020-05-26,2020-05-22,Ros Pike
2849,Referral,Closed Won,2691,2024-04-16,2024-04-09,Ros Pike
8469,Referral,Closed Won,2679,2023-11-18,2023-11-12,Ros Pike
8893,Referral,Closed Won,2677,2021-12-07,2021-12-02,Ros Pike
2568,Referral,Negotiating,2666,2024-11-04,2024-11-02,Ros Pike
7580,Referral,Negotiating,2625,2021-11-28,2021-11-24,Ros Pike
4129,Referral,Closed Won,2625,2020-09-25,2020-09-20,Ros Pike
1036,Referral,Lead,14,2023-11-23,2023-11-21,Ros Pike
3987,Referral,Closed Won,2592,2024-04-15,2024-04-09,Ros Pike
59,Referral,Lead,15,2023-06-19,2023-06-18,Ros Pike
7475,Online Ad,Closed Won,2574,2020-01-11,2020-01-07,Ros Pike
6885,Referral,Closed Won,2568,2021-06-05,2021-06-01,Ros Pike
8272,Referral,Closed Won,2563,2024-01-01,2023-12-26,Ros Pike
3012,Referral,Negotiating,2550,2024-04-24,2024-04-18,Ros Pike
6011,Referral,Closed Won,2549,2023-01-04,2021-12-31,Ros Pike
7281,Referral,Closed Won,2542,2021-02-28,2021-02-22,Ros Pike
264,Referral,Negotiating,2520,2020-09-22,2020-09-20,Ros Pike
7938,Referral,Negotiating,2518,2024-08-25,2024-08-18,Ros Pike
3444,Referral,Negotiating,2505,2024-11-24,2024-11-20,Ros Pike
5531,Referral,Negotiating,2480,2024-12-07,2024-12-03,Ros Pike
1439,Referral,Prospect,2453,2021-10-16,2021-10-16,Ros Pike
3581,Referral,Closed Won,2430,2023-07-30,2023-07-26,Ros Pike
9949,Referral,Negotiating,2405,2024-06-04,2024-06-02,Ros Pike
4866,Referral,Negotiating,2405,2024-11-19,2024-11-14,Ros Pike
7174,Referral,Closed Won,2400,2024-03-31,2024-03-27,Ros Pike
6902,Referral,Prospect,2400,2024-07-25,2024-07-25,Ros Pike
2625,Referral,Prospect,2400,2024-10-25,2024-10-23,Ros Pike
2419,Referral,Closed Won,2396,2023-05-29,2023-05-22,Ros Pike
400,Referral,Negotiating,2396,2023-09-11,2023-09-09,Ros Pike
3570,Referral,Prospect,2395,2024-07-04,2024-07-04,Ros Pike
5991,Referral,Negotiating,2357,2024-09-22,2024-09-16,Ros Pike
5627,Referral,Negotiating,2349,2020-10-02,2020-09-30,Ros Pike
5007,Referral,Closed Won,2322,2021-11-15,2021-11-10,Ros Pike
5321,Referral,Prospect,2314,2024-10-06,2024-10-03,Ros Pike
1002,Referral,Prospect,2310,2021-08-01,2021-08-01,Ros Pike
6117,Referral,Closed Won,2280,2023-11-20,2023-11-14,Ros Pike
5301,Referral,Closed Won,2276,2023-06-04,2023-05-31,Ros Pike
6102,Referral,Negotiating,2254,2024-09-27,2024-09-21,Ros Pike
7488,Referral,Negotiating,2250,2021-12-25,2021-12-20,Ros Pike
4882,Referral,Negotiating,2250,2024-11-06,2024-11-03,Ros Pike
7643,Referral,Lead,18,2023-10-08,2023-10-07,Ros Pike
8700,Referral,Negotiating,2240,2024-06-21,2024-06-16,Ros Pike
9775,Referral,Closed Won,2178,2020-07-31,2020-07-27,Ros Pike
8425,Referral,Negotiating,2155,2024-10-17,2024-10-13,Ros Pike
6535,Referral,Closed Won,2153,2020-11-23,2020-11-18,Suzie Salmon
8681,Referral,Negotiating,2105,2023-12-04,2023-12-02,Suzie Salmon
6468,Referral,Closed Won,2079,2023-12-09,2023-12-03,Suzie Salmon
950,Referral,Negotiating,2065,2024-12-03,2024-11-29,Suzie Salmon
3629,Referral,Closed Won,2061,2020-08-14,2020-08-10,Suzie Salmon
3044,Referral,Prospect,2054,2024-09-13,2024-09-12,Suzie Salmon
8169,Referral,Negotiating,2037,2024-11-14,2024-11-07,Suzie Salmon
4815,Referral,Lead,18,2023-05-11,2023-05-09,Suzie Salmon
9267,Online Ad,Lead,15,2020-02-10,2020-02-09,Suzie Salmon
9491,Referral,Closed Won,2022,2024-01-08,2024-01-04,Suzie Salmon
5919,Referral,Closed Won,2004,2021-09-24,2021-09-18,Suzie Salmon
6880,Referral,Negotiating,2004,2021-12-06,2021-12-02,Suzie Salmon
3771,Referral,Closed Won,2004,2023-12-22,2023-12-18,Suzie Salmon
8270,Referral,Closed Won,2003,2024-02-07,2024-01-31,Suzie Salmon
245,Referral,Negotiating,2002,2020-06-07,2020-06-02,Suzie Salmon
5757,Referral,Closed Won,2000,2020-10-19,2020-10-15,Suzie Salmon
6528,Referral,Negotiating,2000,2023-12-29,2023-12-24,Suzie Salmon
807,Referral,Closed Won,1984,2020-11-08,2020-11-02,Suzie Salmon
1445,Referral,Closed Won,1980,2023-05-29,2023-05-24,Suzie Salmon
2661,Referral,Negotiating,1980,2024-12-03,2024-11-29,Suzie Salmon
5302,Referral,Closed Won,1980,2023-06-04,2023-05-31,Suzie Salmon
150,Referral,Closed Won,1952,2023-12-10,2023-12-06,Suzie Salmon
1220,Referral,Negotiating,1932,2024-09-14,2024-09-10,Suzie Salmon
1702,Referral,Negotiating,1931,2021-07-16,2021-07-14,Suzie Salmon
911,Referral,Negotiating,1929,2024-09-08,2024-09-03,Suzie Salmon
8891,Referral,Negotiating,1928,2023-10-22,2023-10-18,Suzie Salmon
9948,Referral,Negotiating,1926,2024-06-04,2024-06-02,Suzie Salmon
846,Referral,Lead,15,2023-11-10,2023-11-08,Suzie Salmon
2710,Referral,Closed Won,1920,2021-02-07,2021-01-31,Suzie Salmon
3299,Referral,Prospect,1920,2024-11-17,2024-11-17,Suzie Salmon
6882,Referral,Negotiating,1913,2021-12-06,2021-12-02,Suzie Salmon
4992,Referral,Negotiating,1890,2024-12-14,2024-12-08,Suzie Salmon
7510,Referral,Negotiating,1890,2024-07-19,2024-07-15,Suzie Salmon
2549,Referral,Closed Won,1880,2021-08-23,2021-08-17,Suzie Salmon
7133,Referral,Negotiating,1880,2024-12-02,2024-11-27,Suzie Salmon
8994,Referral,Negotiating,1875,2024-10-22,2024-10-17,Suzie Salmon
7847,Referral,Closed Won,1872,2021-10-03,2021-09-28,Suzie Salmon
7330,Referral,Closed Won,1856,2020-03-25,2020-03-19,Suzie Salmon
1434,Referral,Negotiating,1820,2020-12-22,2020-12-20,Suzie Salmon
4429,Referral,Closed Won,1806,2024-03-28,2024-03-22,Suzie Salmon
4056,Referral,Closed Won,1802,2020-10-04,2020-09-30,Suzie Salmon
5186,Referral,Closed Won,1802,2021-10-16,2021-10-11,Suzie Salmon
2535,Referral,Negotiating,1802,2024-08-19,2024-08-16,Suzie Salmon
1308,Referral,Lead,18,2023-06-22,2023-06-21,Suzie Salmon
393,Referral,Negotiating,1800,2020-09-24,2020-09-22,Suzie Salmon
8334,Referral,Lead,18,2023-03-13,2023-03-10,Suzie Salmon
3385,Referral,Negotiating,1800,2021-12-10,2021-12-05,Suzie Salmon
9034,Referral,Closed Won,1794,2020-09-08,2020-09-03,Suzie Salmon
4861,Referral,Closed Won,1794,2023-12-25,2023-12-19,Suzie Salmon
1897,Referral,Prospect,1794,2024-10-07,2024-10-04,Suzie Salmon
5067,Referral,Negotiating,1782,2024-12-08,2024-12-01,Suzie Salmon
7766,Referral,Prospect,1780,2024-08-13,2024-08-13,Suzie Salmon
6632,Referral,Closed Won,1747,2023-12-31,2023-12-26,Suzie Salmon
168,Referral,Closed Won,1740,2020-09-13,2020-09-09,Suzie Salmon
6296,Referral,Closed Won,1737,2021-01-02,2020-12-29,Suzie Salmon
1757,Referral,Negotiating,1718,2021-12-12,2021-12-09,Suzie Salmon
11,Referral,Closed Won,1706,2020-06-15,2020-06-10,Suzie Salmon
3296,Referral,Prospect,1705,2024-10-04,2024-10-02,Suzie Salmon
1251,Referral,Negotiating,1705,2024-12-25,2024-12-19,Suzie Salmon
1712,Referral,Negotiating,1702,2024-11-06,2024-10-31,Suzie Salmon
6176,Referral,Closed Won,1690,2021-09-27,2021-09-22,Suzie Salmon
7680,Referral,Closed Won,1688,2021-01-08,2021-01-01,Suzie Salmon
3571,Referral,Prospect,1688,2024-07-04,2024-07-04,Suzie Salmon
5300,Referral,Lead,19,2023-09-27,2023-09-24,Suzie Salmon
3892,Referral,Closed Won,1685,2023-12-01,2023-11-25,Suzie Salmon
2286,Referral,Lead,14,2023-05-09,2023-05-06,Suzie Salmon
9368,Referral,Closed Won,1677,2020-06-14,2020-06-09,Suzie Salmon
7998,Referral,Prospect,1673,2024-11-06,2024-11-04,Suzie Salmon
1517,Referral,Negotiating,1670,2024-12-15,2024-12-11,Suzie Salmon
3589,Referral,Prospect,1666,2024-12-22,2024-12-20,Suzie Salmon
6877,Referral,Closed Won,1653,2023-09-11,2023-09-06,Suzie Salmon
722,Referral,Closed Won,1653,2023-12-20,2023-12-16,Suzie Salmon
4706,Referral,Lead,15,2023-05-19,2023-05-18,Suzie Salmon
8302,Referral,Negotiating,1650,2024-08-02,2024-07-27,Suzie Salmon
9514,Referral,Closed Won,1650,2023-10-20,2023-10-15,Suzie Salmon
5435,Referral,Closed Won,1641,2021-10-25,2021-10-20,Suzie Salmon
6839,Referral,Closed Won,1641,2024-02-10,2024-02-06,Suzie Salmon
2929,Referral,Negotiating,1633,2024-10-27,2024-10-20,Suzie Salmon
3184,Referral,Negotiating,1633,2024-11-13,2024-11-10,Suzie Salmon
4963,Online Ad,Lead,18,2020-03-09,2020-03-08,Suzie Salmon
2861,Referral,Negotiating,1629,2024-05-24,2024-05-20,Suzie Salmon
7085,Referral,Negotiating,1626,2024-07-26,2024-07-22,Suzie Salmon
2392,Referral,Closed Won,1620,2021-12-11,2021-12-07,Suzie Salmon
1014,Referral,Negotiating,1618,2021-12-25,2021-12-22,Suzie Salmon
7899,Referral,Negotiating,1615,2024-08-19,2024-08-14,Suzie Salmon
8426,Referral,Lead,18,2023-08-31,2023-08-29,Suzie Salmon
4209,Referral,Negotiating,1605,2020-11-03,2020-11-01,Suzie Salmon
7442,Referral,Lead,19,2021-11-19,2021-11-17,Suzie Salmon
5870,Referral,Closed Won,1603,2023-11-13,2023-11-08,Suzie Salmon
4640,Referral,Closed Won,1600,2023-09-17,2023-09-12,Suzie Salmon
4356,Referral,Negotiating,1598,2021-12-08,2021-12-05,Suzie Salmon
9494,Referral,Closed Won,1593,2023-01-09,2023-01-04,Suzie Salmon
9404,Referral,Negotiating,1591,2023-08-18,2023-08-13,Suzie Salmon
2057,Referral,Prospect,1587,2024-12-26,2024-12-23,Suzie Salmon
2358,Referral,Closed Won,1580,2020-03-22,2020-03-18,Park Sung Hee
9274,Referral,Negotiating,1578,2024-09-07,2024-09-03,Park Sung Hee
3567,Referral,Negotiating,1578,2024-09-15,2024-09-08,Park Sung Hee
4137,Referral,Negotiating,1575,2024-10-09,2024-10-03,Park Sung Hee
1546,Referral,Negotiating,1573,2021-01-05,2021-01-01,Park Sung Hee
7687,Referral,Closed Won,1569,2023-11-30,2023-11-26,Park Sung Hee
6851,Referral,Closed Won,1566,2023-01-13,2023-01-09,Park Sung Hee
9149,Referral,Closed Won,1564,2023-01-28,2023-01-24,Park Sung Hee
8454,Referral,Closed Won,1555,2023-04-24,2023-04-19,Park Sung Hee
6611,Referral,Lead,19,2023-10-23,2023-10-21,Park Sung Hee
7650,Referral,Closed Won,1549,2022-01-01,2021-12-28,Park Sung Hee
6114,Referral,Closed Won,1537,2023-11-17,2023-11-13,Park Sung Hee
2942,Referral,Closed Won,1527,2024-04-01,2024-03-26,Park Sung Hee
5311,Referral,Prospect,1525,2024-11-22,2024-11-20,Park Sung Hee
6559,Referral,Closed Won,1523,2021-06-11,2021-06-06,Park Sung Hee
5189,Referral,Closed Won,1516,2021-09-19,2021-09-14,Park Sung Hee
9222,Referral,Prospect,1505,2024-10-15,2024-10-14,Park Sung Hee
248,Referral,Negotiating,1503,2020-06-07,2020-06-02,Park Sung Hee
5017,Referral,Closed Won,1502,2020-11-30,2020-11-25,Park Sung Hee
9674,Referral,Closed Won,1500,2023-12-29,2023-12-24,Park Sung Hee
1133,Referral,Lead,19,2023-12-08,2023-12-07,Park Sung Hee
7815,Referral,Prospect,1498,2024-06-11,2024-06-09,Park Sung Hee
5613,Referral,Negotiating,1496,2024-08-23,2024-08-19,Park Sung Hee
378,Referral,Negotiating,1488,2024-09-02,2024-08-28,Park Sung Hee
5813,Referral,Closed Won,1488,2021-03-27,2021-03-23,Park Sung Hee
4378,Referral,Closed Won,1487,2020-05-01,2020-04-26,Park Sung Hee
7526,Referral,Closed Won,1487,2020-09-17,2020-09-11,Park Sung Hee
5460,Referral,Negotiating,1478,2024-09-07,2024-09-05,Park Sung Hee
6111,Referral,Closed Won,1475,2023-11-17,2023-11-13,Park Sung Hee
9187,Referral,Negotiating,1473,2024-08-12,2024-08-08,Park Sung Hee
6235,Referral,Prospect,1472,2024-09-12,2024-09-12,Park Sung Hee
3828,Referral,Negotiating,1459,2024-05-12,2024-05-08,Park Sung Hee
8563,Referral,Negotiating,1455,2023-04-07,2023-04-03,Park Sung Hee
2190,Referral,Negotiating,1454,2024-08-16,2024-08-11,Park Sung Hee
5814,Referral,Lead,19,2021-07-04,2021-07-03,Park Sung Hee
2756,Referral,Closed Won,1448,2021-04-22,2021-04-18,Park Sung Hee
3591,Referral,Negotiating,1444,2024-12-01,2024-11-25,Park Sung Hee
1812,Referral,Negotiating,1441,2020-06-12,2020-06-10,Park Sung Hee
1834,Referral,Negotiating,1440,2024-08-08,2024-08-02,Park Sung Hee
7361,Referral,Lead,19,2023-04-15,2023-04-13,Park Sung Hee
6201,Referral,Closed Won,1440,2021-04-21,2021-04-17,Park Sung Hee
8925,Referral,Closed Won,1440,2023-02-04,2023-01-31,Park Sung Hee
1831,Referral,Prospect,1440,2024-10-22,2024-10-22,Park Sung Hee
9198,Referral,Closed Won,1432,2020-05-16,2020-05-11,Park Sung Hee
3940,Referral,Prospect,1425,2023-12-11,2023-12-11,Park Sung Hee
6640,Referral,Negotiating,1422,2020-11-03,2020-11-01,Park Sung Hee
3481,Referral,Closed Won,1422,2023-12-15,2023-12-09,Park Sung Hee
7453,Referral,Negotiating,1416,2024-09-23,2024-09-18,Park Sung Hee
3427,Referral,Closed Won,1408,2021-09-29,2021-09-25,Park Sung Hee
2559,Referral,Closed Won,1407,2021-06-05,2021-06-01,Park Sung Hee
6918,Referral,Closed Won,1404,2020-12-22,2020-12-17,Park Sung Hee
9760,Referral,Closed Won,1404,2023-11-06,2023-11-01,Park Sung Hee
7521,Referral,Negotiating,1400,2024-12-13,2024-12-10,Park Sung Hee
2573,Referral,Negotiating,1400,2023-08-16,2023-08-13,Park Sung Hee
2299,Referral,Closed Won,1400,2021-11-06,2021-11-02,Park Sung Hee
815,Referral,Prospect,1400,2024-05-15,2024-05-15,Park Sung Hee
5796,Referral,Negotiating,1396,2020-10-04,2020-09-30,Park Sung Hee
1977,Referral,Negotiating,1395,2020-10-21,2020-10-19,Park Sung Hee
1023,Referral,Closed Won,1380,2021-05-04,2021-04-28,Park Sung Hee
8209,Referral,Closed Won,1370,2021-09-25,2021-09-21,Park Sung Hee
8805,Referral,Lead,19,2021-01-02,2021-01-01,Park Sung Hee
5162,Referral,Closed Won,1368,2020-08-06,2020-07-31,Park Sung Hee
1047,Referral,Closed Won,1364,2023-03-14,2023-03-09,Park Sung Hee
793,Referral,Prospect,1364,2023-05-21,2023-05-21,Park Sung Hee
6765,Referral,Closed Won,1363,2023-09-09,2023-09-03,Park Sung Hee
3800,Referral,Prospect,1360,2024-11-06,2024-11-05,Park Sung Hee
5056,Referral,Negotiating,1352,2021-01-09,2021-01-04,Park Sung Hee
5656,Referral,Lead,19,2023-12-22,2023-12-19,Park Sung Hee
7993,Referral,Lead,18,2023-06-18,2023-06-15,Park Sung Hee
4328,Referral,Lead,18,2023-01-28,2023-01-26,Park Sung Hee
2603,Referral,Prospect,1350,2023-06-05,2023-06-05,Park Sung Hee
2540,Referral,Prospect,1349,2021-07-17,2021-07-17,Park Sung Hee
4520,Referral,Negotiating,1348,2024-06-15,2024-06-11,Park Sung Hee
6049,Referral,Closed Won,1345,2021-11-12,2021-11-08,Park Sung Hee
413,Referral,Negotiating,1337,2024-12-13,2024-12-09,Park Sung Hee
7388,Referral,Closed Won,1336,2023-09-19,2023-09-14,Park Sung Hee
558,Referral,Closed Won,1336,2023-06-16,2023-06-11,Park Sung Hee
4459,Referral,Closed Won,1333,2024-03-21,2024-03-14,Park Sung Hee
4938,Online Ad,Closed Won,1326,2020-01-19,2020-01-14,Park Sung Hee
2674,Referral,Negotiating,1326,2020-09-13,2020-09-10,Park Sung Hee
5560,Referral,Closed Won,1326,2021-12-11,2021-12-07,Park Sung Hee
5639,Referral,Closed Won,1326,2020-12-28,2020-12-22,Park Sung Hee
4988,Referral,Closed Won,1326,2023-04-29,2023-04-25,Park Sung Hee
8010,Referral,Closed Won,1324,2021-11-25,2021-11-18,Park Sung Hee
1181,Referral,Closed Won,1323,2020-06-26,2020-06-22,Park Sung Hee
2478,Referral,Negotiating,1322,2024-09-09,2024-09-05,Park Sung Hee
5517,Referral,Negotiating,1320,2023-11-22,2023-11-19,Park Sung Hee
7228,Referral,Closed Won,1320,2024-02-29,2024-02-25,Park Sung Hee
5142,Referral,Closed Won,1317,2023-04-06,2023-04-02,Park Sung Hee
7647,Referral,Closed Won,1300,2020-09-14,2020-09-10,Park Sung Hee
6101,Referral,Negotiating,1300,2024-09-27,2024-09-21,Park Sung Hee
1326,Referral,Lead,17,2020-05-31,2020-05-28,Park Sung Hee
7607,Referral,Closed Won,1297,2023-06-01,2023-05-28,Park Sung Hee
2114,Referral,Prospect,1296,2021-11-01,2021-11-01,Park Sung Hee
555,Referral,Negotiating,1296,2024-07-04,2024-06-30,Park Sung Hee
8799,Referral,Closed Won,1295,2023-04-11,2023-04-07,Park Sung Hee
5871,Referral,Prospect,1293,2023-06-15,2023-06-15,Park Sung Hee
2655,Referral,Negotiating,1293,2024-09-22,2024-09-18,Park Sung Hee
3371,Referral,Prospect,1287,2023-03-26,2023-03-26,Park Sung Hee
8735,Referral,Negotiating,1287,2024-06-30,2024-06-28,Park Sung Hee
8587,Referral,Negotiating,1287,2024-07-19,2024-07-12,Park Sung Hee
1954,Referral,Negotiating,1282,2024-09-07,2024-09-03,Park Sung Hee
7329,Referral,Closed Won,1280,2020-03-25,2020-03-19,Park Sung Hee
1283,Referral,Lead,17,2024-04-12,2024-04-10,Park Sung Hee
464,Referral,Closed Won,1273,2023-04-30,2023-04-23,Park Sung Hee
8761,Referral,Closed Won,1271,2023-02-07,2023-02-01,Park Sung Hee
4941,Referral,Closed Won,1269,2021-02-14,2021-02-07,Park Sung Hee
2988,Referral,Closed Won,1268,2023-05-31,2023-05-26,Park Sung Hee
1022,Referral,Closed Won,1268,2021-05-04,2021-04-28,Park Sung Hee
8232,Referral,Negotiating,1267,2023-07-03,2023-07-01,Park Sung Hee
1626,Referral,Closed Won,1266,2021-12-25,2021-12-20,Park Sung Hee
4890,Referral,Negotiating,1263,2023-12-02,2023-11-29,Park Sung Hee
8390,Referral,Lead,17,2023-12-31,2023-12-28,Park Sung Hee
4391,Referral,Prospect,1260,2024-11-23,2024-11-21,Park Sung Hee
3733,Referral,Closed Won,1260,2021-09-24,2021-09-19,Park Sung Hee
5632,Online Ad,Closed Won,1256,2020-02-16,2020-02-12,Park Sung Hee
8181,Referral,Closed Won,1253,2021-11-26,2021-11-22,Park Sung Hee
8793,Referral,Lead,15,2020-12-22,2020-12-20,Park Sung Hee
6505,Referral,Negotiating,1248,2024-11-23,2024-11-18,Park Sung Hee
1837,Referral,Closed Won,1246,2024-02-22,2024-02-20,Park Sung Hee
881,Referral,Negotiating,1243,2024-12-03,2024-12-01,Park Sung Hee
820,Referral,Closed Won,1228,2020-07-03,2020-06-29,Park Sung Hee
1035,Referral,Lead,3,2023-11-23,2023-11-21,Park Sung Hee
8034,Referral,Lead,1,2021-06-29,2021-06-26,Park Sung Hee
2610,Referral,Closed Won,1219,2020-12-01,2020-11-26,Park Sung Hee
8833,Referral,Closed Won,1218,2021-06-28,2021-06-23,Park Sung Hee
5470,Referral,Lead,19,2020-09-28,2020-09-27,Park Sung Hee
5927,Referral,Closed Won,1216,2020-04-13,2020-04-09,Park Sung Hee
5150,Referral,Prospect,1215,2020-06-22,2020-06-22,Park Sung Hee
2258,Referral,Prospect,1213,2024-06-20,2024-06-17,Park Sung Hee
9429,Referral,Closed Won,1213,2020-05-17,2020-05-12,Park Sung Hee
1487,Referral,Closed Won,1213,2021-11-08,2021-11-04,Park Sung Hee
7633,Referral,Closed Won,1208,2024-01-02,2024-12-30,Park Sung Hee
4747,Referral,Lead,19,2024-03-06,2024-03-06,Park Sung Hee
7698,Referral,Negotiating,1200,2024-12-19,2024-12-15,Park Sung Hee
596,Referral,Closed Won,1200,2020-08-16,2020-08-09,Jess Gold
700,Referral,Lead,19,2021-05-18,2021-05-15,Jess Gold
4813,Referral,Negotiating,1200,2023-11-20,2023-11-15,Jess Gold
407,Referral,Negotiating,1200,2024-12-13,2024-12-09,Jess Gold
6063,Referral,Negotiating,1200,2021-12-31,2021-12-26,Jess Gold
910,Referral,Negotiating,1200,2024-09-08,2024-09-03,Jess Gold
6152,Referral,Negotiating,1198,2020-03-22,2020-03-19,Jess Gold
6029,Referral,Lead,18,2023-11-22,2023-11-20,Jess Gold
5652,Referral,Negotiating,1194,2024-07-20,2024-07-18,Jess Gold
216,Referral,Closed Won,1188,2021-01-10,2021-01-03,Jess Gold
7841,Referral,Closed Won,1185,2020-04-03,2020-03-29,Jess Gold
3588,Referral,Negotiating,1170,2024-09-29,2024-09-25,Jess Gold
991,Referral,Negotiating,1167,2021-04-01,2021-03-30,Jess Gold
6271,Referral,Negotiating,1159,2024-12-07,2024-12-03,Jess Gold
